verb	verb_id	object	sentence	phrase
stimulated	14	incorporation	Acetylcholine , carbamoylcholine , 5-hydroxytryptamine , DOPAMINE , histamine and gamma-aminobutyric acid also STIMULATED the INCORPORATION of oleate into choline glycerophospholipids of synaptic membranes .	...dopamine , histamine and gamma-aminobutyric acid also stimulated the incorporation of...
dilates	-1	vessels	Unlike other inotropic drugs , DOPAMINE directly DILATES the mesenteric , renal , and cerebral VESSELS and redirects blood flow to essential viscera .	...dopamine directly dilates the mesenteric , renal , and cerebral vessels and...
has	4	effect	At doses of 700 - 1400 mug/min , DOPAMINE also HAS a significant beta-adrenergic , inotropic EFFECT , increasing myocardial contractility .	...dopamine also has a significant beta-adrenergic , inotropic effect ,...
increases	17	contractility	Because DOPAMINE INCREASES myocardial CONTRACTILITY , selectively redistributes perfusion to essential viscera and allows a pharmacologic titration of effect , it is a logical first-choice catecholamine for treatment of shock and refractory heart failure .	...dopamine increases myocardial contractility ,...
play	6	role	We examined the possibility that DOPAMINE may PLAY a ROLE in nerve-mediated " off " responses of esophageal body ( EB ) and relaxations of lower esophageal spincter ( LES ) smooth muscle .	...dopamine may play a role in...
increased	1	resistance	During hypoxic ventilation , DOPAMINE INCREASED the RESISTANCE by an additional 19 % ( p less than 0.001 ) .	...dopamine increased the resistance by...
produced	7	responses	The biogenic amines , adrenaline , DOPAMINE , noradrenaline , 5-hydroxy-tryptamine and octopamine , PRODUCED hyperpolarizing RESPONSES , graded according to concentration .	...dopamine , noradrenaline , 5-hydroxy-tryptamine and octopamine , produced hyperpolarizing responses ,...
produced	7	contraction	In coronary arterial strips , DOPAMINE PRODUCED a CONTRACTION which was abolished by phenoxybenzamine .	...dopamine produced a contraction which...
reduced	20	secretion	Of the catecholamines , adrenaline and DOPAMINE most markedly REDUCED HCl and pepsin SECRETION , while noradrenaline and isoprenaline had a weaker effect .	...dopamine most markedly reduced HCl and pepsin secretion ,...
decrease	53	resistance	These results suggest that DOPAMINE and PGA1 DECREASE renal vascular RESISTANCE in the dog via distinct pharmacological mechanisms .	...dopamine and PGA1 decrease renal vascular resistance in...
raise	-1	levels	When considered with previous electrophysiological and biochemical findings in sympathetic ganglia , a correspondence can be seen : both histamine ( at H1-receptors ) and acetylcholine ( at muscarinic receptors ) raise cGMP levels and are associated with excitatory actions ; both histamine ( at H2- receptors ) and DOPAMINE RAISE cAMP LEVELS and are associated with inhibitory actions .	...dopamine raise cAMP levels and...
demonstrated	-1	ratio	DHBI relaxed both the rabbit isolated renal and ear arteries in the presence of phenoxybenzamine ( 2 . 9 X 10(-5)M ) and propranolol ( 3.4 X 10(-7 ) M ) while DOPAMINE and the specific renal dopamine agonist 6,7-dihydroxy-2-aminotetrahydronaphthalene ( 6,7-ADTN ) DEMONSTRATED a RATIO of specificity for the renal versus the less responsive ear artery .	...dopamine and the specific renal dopamine agonist 6,7-dihydroxy-2-aminotetrahydronaphthalene ( 6,7-ADTN ) demonstrated a ratio of...
influence	34	utilization	Epinephrine , ephedrine , DOPAMINE and isoproterenol considerably INFLUENCE carbohydrate UTILIZATION in planaria .	...dopamine and isoproterenol considerably influence carbohydrate utilization in...
produced	7	degree	Isoproterenol , DOPAMINE and ethylephrine PRODUCED the same DEGREE of chronotropic and inotropic stimulation .	...dopamine and ethylephrine produced the same degree of...
caused	8	activity	In ischemic dog hearts , dobutamine lacked significant arrhythmic activity , whereas DOPAMINE , norepinephrine , and isoproterenol CAUSED severe ectopic ACTIVITY .	...dopamine , norepinephrine , and isoproterenol caused severe ectopic activity ....
induces	18	increase	In carotid sinus preparations , DOPAMINE INDUCES a weak but long-lasting INCREASE in the frequency of baroreceptor discharges .	...dopamine induces a weak but long-lasting increase in...
play	6	role	It is concluded that DOPAMINE may PLAY a modulatory ROLE in the generation of chemoreceptor activity through local regulatory processes .	...dopamine may play a modulatory role in...
reduced	20	activities	DOPA and DOPAMINE REDUCED the spike and mechanical ACTIVITIES .	...dopamine reduced the spike and mechanical activities ....
inhibit	13	efflux	In the rabbit ear artery both DOPAMINE and noradrenaline INHIBIT stimulation-induced ( S-I ) transmitter noradrenaline EFFLUX .	...dopamine and noradrenaline inhibit stimulation-induced ( S-I ) transmitter noradrenaline efflux ....
generate	87	afterdischarge	Extracellularly applied serotonin suppresses an ongoing afterdischarge while DOPAMINE and the phosphodiesterase inhibitors , when applied at the end of the first afterdischarge , GENERATE a subsequent AFTERDISCHARGE of long duration without further electrical stimulation .	...dopamine and the phosphodiesterase inhibitors , when applied at the end of the first afterdischarge , generate a subsequent afterdischarge of...
stimulate	25	of	We have shown that both serotonin and DOPAMINE STIMULATE the formation OF cyclic AMP in the bag cell clusters and in the pleurovisceral connectives and that the occurrence of an afterdischarge is associated with a specific increase in total cyclic AMP in bag cell bodies .	...dopamine stimulate the formation of cyclic...
control	88	activity	Our data suggest that serotonin and/or DOPAMINE may CONTROL bag cell ACTIVITY and that activation of adenylate cyclase is linked to bag cell afterdischarge .	...dopamine may control bag cell activity and...
stimulate	25	system	Thus , DOPAMINE did not STIMULATE the SYSTEM at concentrations up to 10(-3 ) M. Moreover , beta-hydroxyphenethylamines without a 3,4-catechol group ( octopamine , phenylephrine , p-hydroxynorephedrine , metaraminol and methoxamine ) - though exerting alpha-agonist activity in peripheral tissues - lack agonist activity in this particular cyclic AMP generating system .	...dopamine did not stimulate the system at...
produces	32	effect	From the present results it is concluded , that DOPAMINE PRODUCES its positive inotropic EFFECT through stimulation of myocardial alpha-as well as beta-adrenoceptors to about the same degree ; stimulation of specific dopaminergic receptors , however , is not involved .	...dopamine produces its positive inotropic effect through...
caused	8	changes	It was demonstrated that noradrenaline , adrenaline , DOPAMINE and isoproterenol as well as normethanephrine administered into the lateral ventricle of the rat brain , under urethane anaesthesia , CAUSED significant CHANGES in arterial blood pressure .	...dopamine and isoproterenol as well as normethanephrine administered into the lateral ventricle of the rat brain , under urethane anaesthesia , caused significant changes in...
inhibited	2	secretion	In human placental explants cultured in vitro , DOPAMINE INHIBITED human chorionic somatomammotropin ( hCS ) SECRETION into the culture media .	...dopamine inhibited human chorionic somatomammotropin ( hCS ) secretion into...
=	54	epinine	These sites , studied via direct drug injection into the perifornical hypothalamus of freely moving , brain-cannulated rats , were found to be most responsive to dopamine , in a dose-dependent manner , but were also activated by other catecholamine receptor stimulants , with the order of potency being DOPAMINE greater than apomorphine = EPININE greater than norepinephrine .	...dopamine greater than apomorphine = epinine greater...
showed	21	activity	leu-enkephalin , met-enkephalin , bradykinin , norepinephrine , DOPAMINE , serotonin , acetylcholine , histamine , gamma-amino butyric acid or gamma-hydroxy butyric acid SHOWED no CRF-like ACTIVITY .	...dopamine , serotonin , acetylcholine , histamine , gamma-amino butyric acid or gamma-hydroxy butyric acid showed no CRF-like activity ....
impaired	-1	induction	Incubation with 10(-5 ) M noradrenaline or 10(-5 ) M DOPAMINE IMPAIRED the carbachol-mediated INDUCTION of the enzyme .	...dopamine impaired the carbachol-mediated induction of...
causes	30	reduction	Indeed , although dobutamine seems less arythmic , lovers more the ventricular filling pressure and increases less the intra-pulmonary shunt , DOPAMINE CAUSES less REDUCTION in the systemic resistance which in the case of septic shock seems more logical .	...dopamine causes less reduction in...
reduced	20	release	Leu-enkephalin , DOPAMINE , prostaglandin E1 and E2 slightly REDUCED the RELEASE of ACTH induced by HY-CRF , but the inhibitory effect of these substances were not dose-related .	...dopamine , prostaglandin E1 and E2 slightly reduced the release of...
showed	21	change	3.5 hours later , when the neurological deficit was fully developed , hemisphere DOPAMINE ( DA ) SHOWED little CHANGE from normal .	...dopamine ( DA ) showed little change from...
modulates	10	output	Crucial questions remain , including how DOPAMINE MODULATES striatal OUTPUT and what causes the parkinsonian degeneration of the nigrostriatal pathway .	...dopamine modulates striatal output and...
stimulated	14	release	In contrast , DOPAMINE ( DA ) and noradrenaline ( NA ) STIMULATED NIL ACTH RELEASE in a dose-dependent manner .	...dopamine ( DA ) and noradrenaline ( NA ) stimulated NIL ACTH release in...
had	5	effect	Insulin , serotonin , DOPAMINE , thyroid-stimulating hormone and ACTH HAD no EFFECT .	...dopamine , thyroid-stimulating hormone and ACTH had no effect ....
released	-1	AVP	Acetylcholine and histamine stimulated the release of AVP at the hypothalamic and pituitary levels ; DOPAMINE and norepinephrine RELEASED AVP in a dose related manner only from the hypothalamus ; angiotensin II released AVP in the same fashion only from the pituitary gland .	...dopamine and norepinephrine released AVP in...
contracted	75	deferens	Noradrenaline ( NA ) and DOPAMINE ( DA ) CONTRACTED the mouse vas DEFERENS and reduced the responses to low frequency nerve stimulation ( 0.1 Hz ) .	...dopamine ( DA ) contracted the mouse vas deferens and...
modulate	15	activity	It is suggested that DOPAMINE and noradrenaline independently MODULATE electrocortical activity , dopamine mediating spindling , and noradrenaline inhibiting spindling but mediating low voltage , high frequency ACTIVITY .	...dopamine and noradrenaline independently modulate electrocortical activity , dopamine mediating spindling , and noradrenaline inhibiting spindling but mediating low voltage , high frequency activity ....
inhibiting	-1	mediating	It is suggested that dopamine and noradrenaline independently modulate electrocortical activity , DOPAMINE mediating spindling , and noradrenaline INHIBITING spindling but MEDIATING low voltage , high frequency activity .	...dopamine mediating spindling , and noradrenaline inhibiting spindling but mediating low...
modulate	15	secretion	It is suggested that DOPAMINE may MODULATE the normal SECRETION of aldosterone either directly , or indirectly , possible by inhibition of prolactin secretion .	...dopamine may modulate the normal secretion of...
caused	8	decrease	Adrenaline , noradrenaline , and DOPAMINE all CAUSED a dose-dependent DECREASE in the force of the soleus contractions , their potencies being in that order .	...dopamine all caused a dose-dependent decrease in...
had	5	effect	A natriuretic and kaliuretic response was induced by the intraventricular injection of norephrine ( NE ) or carbachol , whereas DOPAMINE ( DA ) HAD no EFFECT .	...dopamine ( DA ) had no effect ....
play	6	role	Does DOPAMINE PLAY a ROLE in schizophrenia ?	...dopamine play a role in...
stimulated	14	formation	In human cerebral cortex slices noradrenaline , isoproterenol ( a beta-adrenergic agonist ) , DOPAMINE , apomorphine ( a dopaminergic agonist ) , and serotonin STIMULATED cyclic AMP FORMATION : noradrenaline greater than or equal to isoproterenol greater than dopamine = apomorphine = serotonin .	...dopamine , apomorphine ( a dopaminergic agonist ) , and serotonin stimulated cyclic AMP formation :...
play	6	role	The possibility that DOPAMINE may PLAY a ROLE in the in vivo control of aldosterone production in man was suggested to us by reports from others ; ( a ) that bromocriptine , a dopaminergic agonist , inhibits the aldosterone response to diuresis and to the infusion of angiotensin or ACTH ; and ( b ) that metaclopramide , a dopamine blocking agent , causes elevations in plasma aldosterone levels .	...dopamine may play a role in...
required	-1	doses	To achieve maximal chronotropic and inotropic effects , DOPAMINE REQUIRED four times higher DOSES than norepinephrine and orciprenaline .	...dopamine required four times higher doses than...
influences	38	self-stimulation	The parallels between the effects of dopamine agonists and antagonists on self-stimulation in the monkey and rat suggest that DOPAMINE INFLUENCES SELF-STIMULATION of some sites in both the primate and the rat .	...dopamine influences self-stimulation of...
plays	3	role	These data provide direct evidence that DOPAMINE PLAYS an important ROLE in a specific cortical function .	...dopamine plays an important role in...
modulates	10	self-stimulation	The results suggest that DOPAMINE MODULATES SELF-STIMULATION of the prefrontal cortex .	...dopamine modulates self-stimulation of...
have	9	effects	The fact that DOPAMINE and related compounds may HAVE excitomotor EFFECTS at some concentrations , correlated with some physiopathological observations in man and animal allows some considerations about the eventual role of dopamine on intestinal motricity .	...dopamine and related compounds may have excitomotor effects at...
inhibited	2	increase	In the mammotroph-rich fraction , DOPAMINE INHIBITED the INCREASE in cyclic AMP induced by TRH .	...dopamine inhibited the increase in...
lowered	57	secretion	In contrast however , in the thyrotroph-enriched fraction DOPAMINE LOWERED neither cyclic AMP concentration nor TSH SECRETION .	...dopamine lowered neither cyclic AMP concentration nor TSH secretion ....
enhance	63	output	Combined nitroprusside and DOPAMINE or dobutamine synergistically ENHANCE low cardiac OUTPUT and decrease raised left ventricular end-diastolic pressure .	...dopamine or dobutamine synergistically enhance low cardiac output and...
enhance	63	CO	Combined nitroprusside and DOPAMINE synergistically ENHANCE CO and decrease LVEDP .	...dopamine synergistically enhance CO and...
exerts	11	effect	The obtained results suggest that DOPAMINE EXERTS a stronger inhibiting EFFECT on the release of prolactin than on its synthesis .	...dopamine exerts a stronger inhibiting effect on...
change	69	synthesis	Adrenaline , DOPAMINE and acetylcholine in concentrations up to 10(-3 ) M did not CHANGE prolactin SYNTHESIS .	...dopamine and acetylcholine in concentrations up to 10(-3 ) M did not change prolactin synthesis ....
uptake	-1	inhibiton	Lu 10 - 171 and its metabolites were compared with tricyclic thymoleptics in several tests for serotonin (5-HT),noradrenaline ( NA ) , and DOPAMINE ( DA ) UPTAKE INHIBITON in vitro and in vivo .	...dopamine ( DA ) uptake inhibiton in...
mediates	24	activation	The results support the hypothesis that DOPAMINE MEDIATES ACTIVATION of the pyloric system in vivo , as observed in vitro .	...dopamine mediates activation of...
inhibited	2	binding	In the putamen , DOPAMINE almost completely INHIBITED the [3H]WIN 35,428 BINDING .	...dopamine almost completely inhibited the [3H]WIN 35,428 binding ....
plays	3	role	The results suggest that prefrontal cortex DOPAMINE PLAYS a different ROLE in the antidepressant properties of desipramine and fluoxetine .	...dopamine plays a different role in...
inhibited	2	release	Photo-released DOPAMINE INHIBITED RELEASE of endogenous caudate DA release evoked by single electrical stimulation .	...dopamine inhibited release of...
play	6	role	Since this " axial apraxia ' is not ameliorated by L-DOPA therapy , it has been concluded that DOPAMINE ( DA ) does not PLAY a ROLE in recruiting axial rotation of the body [ 14 ] .	...dopamine ( DA ) does not play a role in...
release	-1	factors	Supplementing DOPAMINE by levodopa administration , retarding the metabolism of levodopa or dopamine by dopa decarboxylase inhibitor ( DCI ) , monoamine oxidase inhibitor type B ( MAO-B ) inhibitor or catechol-O-methyltransferase ( COMT ) inhibitor , dopamine receptor agonists , anticholinergic agents , dopamine RELEASE enhancer/ uptake inhibitor , N-methyl-D-aspartate ( NMDA ) receptor antagonists , adenosine receptor antagonists , neurotrophic FACTORS , GM1-ganglioside and nicotinic receptor agonists have been applied in the treatment of Parkinson 's disease or are under investigation for patients .	...dopamine by levodopa administration , retarding the metabolism of levodopa or dopamine by dopa decarboxylase inhibitor ( DCI ) , monoamine oxidase inhibitor type B ( MAO-B ) inhibitor or catechol-O-methyltransferase ( COMT ) inhibitor , dopamine receptor agonists , anticholinergic agents , dopamine release enhancer/ uptake inhibitor , N-methyl-D-aspartate ( NMDA ) receptor antagonists , adenosine receptor antagonists , neurotrophic factors ,...
release	-1	inhibitor	Supplementing dopamine by levodopa administration , retarding the metabolism of levodopa or dopamine by dopa decarboxylase inhibitor ( DCI ) , monoamine oxidase inhibitor type B ( MAO-B ) inhibitor or catechol-O-methyltransferase ( COMT ) inhibitor , dopamine receptor agonists , anticholinergic agents , DOPAMINE RELEASE enhancer/ uptake INHIBITOR , N-methyl-D-aspartate ( NMDA ) receptor antagonists , adenosine receptor antagonists , neurotrophic factors , GM1-ganglioside and nicotinic receptor agonists have been applied in the treatment of Parkinson 's disease or are under investigation for patients .	...dopamine release enhancer/ uptake inhibitor ,...
changed	109	profile	Exogenous DOPAMINE ( DA ; 5 microM ) CHANGED the spectral response PROFILE in a similar way to light-adaptation .	...dopamine ( DA ; 5 microM ) changed the spectral response profile in...
play	6	role	These findings suggest DOPAMINE may PLAY a ROLE in cerebral ischaemia and dopaminergic agonists may be beneficial in preventing ischaemia-induced neurodegeneration .	...dopamine may play a role in...
produces	32	enhancement	These results indicate that DOPAMINE PRODUCES a synapse-specific ENHANCEMENT of early LTP through D1/D5 receptors and cAMP .	...dopamine produces a synapse-specific enhancement of...
improves	45	HbO2muc	Under conditions of compromised tissue oxygenation , DOPAMINE significantly IMPROVES PO2muc and HBO2MUC .	...dopamine significantly improves PO2muc and HbO2muc ....
stimulated	14	activity	Repeated ceruletide ( CLT ) injections abolished perioral movements , and reversed both the elevated SCH23390 binding and the DOPAMINE STIMULATED adenylate cyclase ( AC ) ACTIVITY to the control level .	...dopamine stimulated adenylate cyclase ( AC ) activity to...
affected	49	GFR	Neither DOPAMINE , furosemide , or their coadministration AFFECTED GFR .	...dopamine , furosemide , or their coadministration affected GFR ....
suppressed	35	emptying	Cholecystokinin-octapeptide , DOPAMINE , and alpha-calcitonin gene-related peptide , all SUPPRESSED gastric EMPTYING in mice .	...dopamine , and alpha-calcitonin gene-related peptide , all suppressed gastric emptying in...
modulate	15	responsiveness	We hypothesize that the endogenous nigrostriatal neurotransmitter DOPAMINE can MODULATE striatal neurotrophin RESPONSIVENESS and thereby influence striatal neuronal development during a defined developmental period .	...dopamine can modulate striatal neurotrophin responsiveness and...
play	6	role	Previous studies in Syrian hamster have shown that the correlations between the daily fluctuations in the contents of pineal indoleamines and methoxyindoles are influenced by the photoperiod , and that DOPAMINE may PLAY a ROLE in the regulation of pineal function .	...dopamine may play a role in...
increased	1	gMCF	At constant flow rate , DOPAMINE also INCREASED GMCF with no change in VO2 , DO2 or mean arterial pressure .	...dopamine also increased gMCF with...
had	5	effect	Our data suggested that DOPAMINE HAD no flow-independent EFFECT on VO2 and that it increased gMCF during constant flow hypothermic CPB .	...dopamine had no flow-independent effect on...
slows	-1	phagocytosis	Thus DOPAMINE SLOWS pigment epithelium PHAGOCYTOSIS in vitro through a D1 receptor .	...dopamine slows pigment epithelium phagocytosis in...
inhibits	0	secretion	The results of this study suggest that DOPAMINE INHIBITS FSH pulsatile SECRETION in seasonally anoestrous mares .	...dopamine inhibits FSH pulsatile secretion in...
exerts	11	effects	To test whether exogenous DOPAMINE EXERTS EFFECTS on the neurite outgrowth of both target and non-target neurons respectively , these cells were cultured in conditioned media ( CM ) in the presence of dopamine ( 10(-5 ) M ) .	...dopamine exerts effects on...
regulate	26	outgrowth	These data suggest that DOPAMINE may REGULATE neurite OUTGROWTH of non-target cells in culture .	...dopamine may regulate neurite outgrowth of...
regulates	22	growth	Taken together , our data show that DOPAMINE differentially REGULATES GROWTH of identified Lymnaea neurons in culture .	...dopamine differentially regulates growth of...
inhibit	13	release	Using this method to follow cAMP dynamics of melanotrope cells in the neurointermediate pituitary lobe of the amphibian Xenopus laevis we show that the alpha-MSH secreto-inhibitors baclofen ( GABAB receptor agonist ) and DOPAMINE INHIBIT cAMP RELEASE , confirming the idea that these factors inhibit alpha-MSH secretion by reducing adenylyl cyclase activity .	...dopamine inhibit cAMP release ,...
has	4	action	This suggests that DOPAMINE HAS an enduring , activity-dependent ACTION on the efficacy of corticostriatal transmission , which may be a cellular basis for the learning-related effects of the nigrostriatal system .	...dopamine has an enduring , activity-dependent action on...
plays	3	role	The relatively modest increase in ventrolateral striatal dopamine release during lever pressing and the lack of relation between dopamine release and behavioral output may indicate that DOPAMINE in the ventrolateral striatum PLAYS mainly a permissive ROLE in lever pressing .	...dopamine in the ventrolateral striatum plays mainly a permissive role in...
reduce	44	coupling	The monoaminergic neuromodulators DOPAMINE , noradrenaline , and serotonin REDUCE gap junction COUPLING via activation of two different intracellular signaling cascades -- the cAMP/protein kinase A pathway and the IP3/Ca2+/protein kinase C pathway , respectively .	...dopamine , noradrenaline , and serotonin reduce gap junction coupling via...
induced	12	hypomotility	Recent behavioural studies showed that the newly synthesized dopamine lipoamide , N-stearyl DOPAMINE INDUCED a strong HYPOMOTILITY ( -80 % ) in rats and mice .	...dopamine induced a strong hypomotility (...
affected	49	Gs	ADP-ribosylation by bacterial toxins indicates that DOPAMINE and isoproterenol AFFECTED GS , while carbamylcholine affected Gi .	...dopamine and isoproterenol affected Gs ,...
potentiated	58	activity	Analysis of single-channel properties revealed that DOPAMINE POTENTIATED the ACTIVITY of the sustained calcium channel in three ways .	...dopamine potentiated the activity of...
inhibits	0	oscillations	It is concluded that sauvagine , baclofen and NPY work primarily through a cAMP/PKA-pathway while DOPAMINE INHIBITS Ca2 + OSCILLATIONS in a dual fashion , namely via both a cAMP-dependent and a cAMP-independent mechanism , the latter probably involving membrane hyperpolarization .	...dopamine inhibits Ca2 + oscillations in...
increase	31	rate	Oral docarpamine of 15 - 20 mg/kg per dose can achieve plasma free concentrations of DOPAMINE that INCREASE heart RATE and systolic blood pressure .	...dopamine that increase heart rate and...
has	4	role	Evidence from a variety of sources is accumulating to indicate that DOPAMINE HAS a major ROLE in regulating the excitability of the cortical circuitry upon which the working memory function of prefrontal cortex depends .	...dopamine has a major role in...
diffused	-1	distances	The full return of spinule formation with only partial reinnervation of the retina with DA-IPC processes and their subsequent inhibition by SCH 23390 indicates that DOPAMINE DIFFUSED large DISTANCES within the retina to regulate this synaptic plasticity ( i.e. displayed volume transmission ) .	...dopamine diffused large distances within...
inhibited	2	Na+	At doses & gt ; or = 1 microM , DOPAMINE INHIBITED arginine vasopressin (AVP)-dependent NA+ and water transport ( measured by the unidirectional lumen-to-bath 22Na+ flux and the transepithelial voltage ) and osmotic water permeability ( Pf ) .	...dopamine inhibited arginine vasopressin (AVP)-dependent Na+ and...
regulates	22	excitability	The ionic mechanisms by which DOPAMINE ( DA ) REGULATES the EXCITABILITY of layers V-VI prefrontal cortex ( PFC ) output neurons ( including those that project to the nucleus accumbens ) were investigated in rat brain slices using in vitro intracellular recording techniques .	...dopamine ( DA ) regulates the excitability of...
increases	17	ratio	These data support the hypothesis that DOPAMINE INCREASES the signal-to-noise RATIO in semantic networks by reducing the spread of semantic processing , thereby leading to a focussing of activation .	...dopamine increases the signal-to-noise ratio in...
has	4	ability	In conclusion , DOPAMINE HAS the unique ABILITY , compared with other catecholamines , to improve renal blood flow , glomerular filtration rate , sodium excretion , and creatinine clearance , independent of its cardiac effects .	...dopamine has the unique ability ,...
decrease	53	resistance	In addition , low-dose DOPAMINE can DECREASE renal and systemic vascular RESISTANCE , suppress aldosterone secretion , and interact with atrial natriuretic factor .	...dopamine can decrease renal and systemic vascular resistance ,...
plays	3	role	The literature suggests that central DOPAMINE PLAYS a key ROLE in this 1 - 5-s partitioning .	...dopamine plays a key role in...
stimulated	14	immunoreactivity	The dopamine-releasing agent metamphetamine stimulated substance-P-containing neurons in 1-week-old striatal slices , whereas DOPAMINE STIMULATED substance-P-like IMMUNOREACTIVITY in 1- and 2-week old striatal cultures .	...dopamine stimulated substance-P-like immunoreactivity in...
constitutes	-1	most	Although free and conjugated DOPAMINE ( DA ) CONSTITUTES MOST of plasma and urine catecholamine pool , the diagnostic significance of DA estimation for the evaluation of illness is not clear .	...dopamine ( DA ) constitutes most of...
prevent	64	decrease	Our results indicated that low-dose DOPAMINE did not PREVENT , but delayed and attenuated , the DECREASE in intestinal villus blood during normotensive endotoxaemia .	...dopamine did not prevent , but delayed and attenuated , the decrease in...
alters	59	pattern	5 ) DOPAMINE ALTERS the PATTERN of glycosylation as well in Mr as in relative percentages of the molecular variants .	...dopamine alters the pattern of...
produced	7	increase	Prior to biliary obstruction , portal venous blood flow ( PVF ) increased in response to the infusion of either dopamine or dobutamine : DOPAMINE infused at 8 micrograms/kg per min PRODUCED an INCREASE of 19 + /- 0 % in PVF , while dobutamine infused at 16 micrograms/kg per min produced an increase of 30 + /- 2 % .	...dopamine infused at 8 micrograms/kg per min produced an increase of...
produced	7	decrease	In dogs with obstructive jaundice , DOPAMINE at 16 micrograms/kg per min PRODUCED a DECREASE of 17 + /- 3 % in PVF .	...dopamine at 16 micrograms/kg per min produced a decrease of...
regulates	22	release	Therefore , DOPAMINE , through D2 receptors , REGULATES the RELEASE of IL-6 and TNF from adrenal cells .	...dopamine , through D2 receptors , regulates the release of...
show	46	change	The dopa and DOPAMINE contents in the brain of only L-ODAP-injected white mice did not SHOW any CHANGE , whereas levels of these compounds were much higher in tyrosine-pretreated animals .	...dopamine contents in the brain of only L-ODAP-injected white mice did not show any change ,...
provide	110	benefits	Laboratory studies demonstrate that both selegiline and DOPAMINE agonists can PROVIDE neuroprotective BENEFITS .	...dopamine agonists can provide neuroprotective benefits ....
inhibits	0	secretion	These data suggest that DOPAMINE INHIBITS LH SECRETION in GR wethers and that increasing serum glucose concentrations increased LH secretion .	...dopamine inhibits LH secretion in...
promote	89	depression	The results of this study showed that the neurotransmitter DOPAMINE and both cocaine and cocaethylene can PROMOTE further CNS DEPRESSION in the presence of systemic ethanol , and that dopamine was significantly more potent than cocaine and cocaethylene as measured by the return to the LORR .	...dopamine and both cocaine and cocaethylene can promote further CNS depression in...
